0.1uF	6	"C2 C3 C4 C5 C6 C7"
1uF	1	"C1"
CONN_3	3	"CN2 JP1 JP2"
USB_Micro_B	1	"CN1"
LED	1	"D1"
RJ12	5	"J1 J2 J3 J4 J5"
CONN_3X2	8	"JP3 JP4 JP5 JP6 JP7 P1 P2 P3"
CONN_2	1	"P6"
1K	1	"R16"
4.7k	10	"R5 R6 R7 R8 R9 R10 R11 R12 R13 R14"
10k	4	"R1 R2 R3 R4"
0-OHM	1	"R15"
PCA9546A	1	"U1"
TCR2EF33	1	"U2"
